subject_id,subject_slug,subject_type,subject_characters,deprecated_meaning_hint,deprecated_meaning_mnemonic,deprecated_meanings,deprecated_reading_hint,deprecated_reading_mnemonic
752,運,Kanji,運,You can get to moving pretty fast on big water slides. Imagine the force you’d hit the side of the slide with should something go terribly wrong. Now imagine hitting it that hard with your forehead. Ouch.,"If you smash your [radical]forehead[/radical] on a [radical]waterslide[/radical], you’re going to get put in the back of a [radical]car[/radical] and have your friends [kanji]carry[/kanji] you to the nearest hospital. Forehead injuries are no joke, especially those on waterslides. You’re too woozy to walk anywhere on your own which is why you’re getting carried. This kanji also means [kanji]luck[/kanji] because if you're ""carrying"" you're creating your own luck... except in this case, when you get taken to a hospital. Guns won't help with your luck at all here.","","It’s hard enough to carry an umbrella while you’re carrying groceries or something, but just imagine trying to carry the dead weight of an unconscious human while still holding an umbrella so you don’t get wet. It’s going to be like, super difficult. Just picture it.","To make matters worse, it’s started to rain outside. So not only do your friends have to [kanji]carry[/kanji] you, they also have to carry an [reading]um[/reading]brella ([ja]うん[/ja]). It’s very cumbersome and very inconveniencing. Way to go and hit your forehead on that waterslide, you’ve just ruined everyone’s day."
893,映,Kanji,映,"The sun can reflect off a lot of things, but the glare from the sun is annoying. Imagine the sun’s light being reflected into your eyes. The light hurts and you have to squint.","In the [radical]central[/radical] part of the [radical]sun[/radical], there are thousands of mirrors all pointed outward bouncing off light. I bet you didn't know that. Picture a ton of mirrors all trying to [kanji]reflect[/kanji] light. If there's enough, it will be daytime on earth. Reflect, reflect!","",Imagine hearing the song Ace of Spades playing in your head as you picture the reflection from the mirror hitting you in the eyes. Senses overload!,"Somehow you get a closer look at these mirrors. They are in the shape of an [reading]a[/reading]ce ([ja]えい[/ja]), the ace of spades. So when the sun hits it and [kanji]reflect[/kanji]s off, the reflected light is in the shape of an ace."
953,英,Kanji,英,"Picture yourself in central England, out in a field somewhere, smelling the flowers. The flowers smell nice. Smell the English smelling flowers in your nose holes.","There are many [radical]flowers[/radical] in [radical]central[/radical] [kanji]England[/kanji]. You wouldn’t expect it as England has many buildings and the like, but there’s actually a lot of flowers in central England. This kanji also often means [kanji]English[/kanji], which is a pretty similar concept so hopefully it's not hard to remember as well.","","Imagine the excitement of having pocket aces. Feel the grass on the ground, the wind in your hair, and the smell of the flowers in your nostrils as you try to contain your excitement.","In this central park of flowers in [kanji]England[/kanji], you’re playing a game of poker. You were dealt one [reading]a[/reading]ce ([ja]えい[/ja]), and then another ace. Pocket aces! You’ll win for sure."
1492,衛,Kanji,衛,"I mean, you could go ask the cow god to help you with the bad defensive skills of your basketball team, but he'll probably kill you all with his laser eyes because that isn't a real emergency. ","You should only [radical]go[/radical] to the [radical]cow god[/radical] if you need [kanji]defense[/kanji]. Like, your castle is being ripped apart by barbarians, defense, not, your basketball team has poor defense and now you need more, defense.","",Maybe the cow god is going to ace your enemies in your defense! That would be pretty cool!,"When the cow god comes to help you with your [kanji]defense[/kanji] (for a good reason), you notice a symbol on its back. It's a large [reading]a[/reading]ce ([ja]えい[/ja]), like a playing card. It's the ace of spades. I wonder why."
2293,瑛,Kanji,瑛,Imagine how pretty the king's crystals reflect the colors from the flowers in his secret chamber in a central point in the castle.,"If you give the [radical]king[/radical] [radical]flowers[/radical] he'll put them in the [radical]central[/radical] part of the castle with all his [kanji]crystal[/kanji]s. Flowers and crystals look really good together, and he can't have them out in the open because all the commoners will steal them! So your pretty flowers will be put with his huge crystal collection.","","Picture these giant crystal aces. If he only has the aces, and they're at the central point in the castle, maybe all the other cards are hidden throughout the rest of the place!","If you could actually see the [kanji]crystal[/kanji]s you'd be surprised to see that they're all in the shape of [reading]a[/reading]ce ([ja]えい[/ja]) playing cards. Giant crystal aces sitting in the center of the castle, surrounded by flowers, suddenly don't sound as pretty to you."
2118,疫,Kanji,疫,Just watch the sickness jump from person to person in Ikea. They aren't allowed to leave since all of Ikea has become quarantined.,Everyone is [radical]sick[/radical] in [radical]Ikea[/radical]. The sickness has spread all throughout Ikea and everyone is getting it. This is an [kanji]epidemic[/kanji]!,"","Imagine the person getting off the train from the station, looking sick and such. They give the sickness to everyone else, causing the epidemic.",The sickness that caused the Ikea [kanji]epidemic[/kanji] actually came from the [reading][ja]駅[/ja][/reading] ([ja]えき[/ja]) right next to Ikea. Someone brought it in from the station there... that must be it. It's the only way to get to Ikea.
2309,悦,Kanji,悦,Delight guards you see by giving them each a fish stick. Feel your own delight as you see how happy they become.,"Give a [radical]fish stick[/radical] to a [radical]guard[/radical] who's stuck on duty and watch the [kanji]delight[/kanji] spread over his face. He was so hungry, but guards aren't allowed to move while they're on duty. That fish stick completely made his night. You're such a nice person, spreading <kan>joy</kan> like that. Go you!","",Imagine delight etched on your face and the guards because you did a nice thing.,The [kanji]delight[/kanji] they feel is so strong that you'll see the smile [reading]etch[/reading]ed ([ja]えつ[/ja]) on their face for the rest of the night. Maybe it will even be etched there every time you see them from now on.
2149,襟,Kanji,襟,"Imagine putting a collar on a pelican so it won't fly away. It doesn't really fit its weird neck well, so you just hope it doesn't slip out once you start to jackhammer away.","If you want to keep a [radical]pelican[/radical] next to some [radical]tree[/radical]s while you [radical]jackhammer[/radical] under them, you have to find a [kanji]collar[/kanji] to tie it there. Pelicans hate jackhammers, so if you don't get it a strong collar it will break free and fly away.","",Look down at the collar with Eric's name on it and cry. Maybe you shouldn't have brought him to work today.,"Well, the [kanji]collar[/kanji] snaps off and the pelican flies away as you yell, ""[reading]ERI[/reading]C ([ja]えり[/ja])!"" Your pelican's name was Eric but now he's free. You look down at the collar with his name in sparkly letters spelling it out in your hand. Now this collar is all you have left of him."
963,遠,Kanji,遠,"Watch it slide off into the distance. It's a HUGE water slide, so it goes really far.",Why'd you put the [radical]zombie[/radical] on the [radical]water slide[/radical]? Because you want to send it [kanji]far[/kanji] away from you.,"","That really is too far, isn't it? A shorter water slide would have been better, methinks. Oops, no more time to think, the zombie is trying to eat you. Run!","I mean, REALLY [kanji]far[/kanji] away. [reading]TOO[/reading] ([ja]とお[/ja]) far even. It's too far, so far that the water slide loops back around the entire world and he lands right back next to you again."
1056,煙,Kanji,煙,Imagine the smoke stopping up your lungs and your eyes. All you know other than the smoke is the sound of the helicopter that's causing it to happen.,"You light a [radical]fire[/radical] in front of the [radical]grave[/radical] of someone you love when a [radical]helicopter[/radical] flies overhead. This causes [kanji]smoke[/kanji] from the fire to spread everywhere! It's in your eyes, your mouth, your ears! The smoke gets in your lungs and you can't breathe. Why helicopter, why!","",Imagine choking on the smoke and accepting that this is the end.,The [kanji]smoke[/kanji] is too much and you realize this is the [reading]en[/reading]d ([ja]えん[/ja]) for you. You're gonna die here!
1182,援,Kanji,援,"Picture yourself playing football with this nailbat. You hear the ball being hiked and feet scuffling all around. Wanting to aid your team and help assist a touchdown, you start cracking skulls with your nailbat. Hear the crunch as you bash other players with the nailbat. Hear their screams as they fall to the ground all around you.","Using a [radical]nailbat[/radical] while you play [radical]football[/radical] can [kanji]aid[/kanji] in the [kanji]assist[/kanji] of defending the ball carrier. Using the nailbat is like, super illegal as far as football rules go, but there’s no doubt that it would assist in tackling and knocking others to the ground.","",Remember yourself crafting this nailbat out of an ent. You cut the branch from a live ent so he wasn’t too happy with you. Hear the leafy scream of the ent as you carve your nailbat out of one of his arms.,This nailbat was made from the wood of an [reading]en[/reading]t ([ja]えん[/ja]). Ents are composed of very strong wood. A nailbat made out of such a material is very strong. This proves a great [kanji]aid[/kanji] in your defensive ability on the football field. You manage to [kanji]assist[/kanji] in many touchdowns because of it.
1196,演,Kanji,演,"What kind of show will you perform? Imagine yourself in the tsunami water, wearing your helmet and fins. Feel the water all around you as you perform tricks for your audience.","Wearing a [radical]tsunami[/radical] proof [radical]helmet[/radical] while in a [radical]corn[/radical] field wearing [radical]fins[/radical] will allow you to [kanji]perform[/kanji] a great show. There’s a tsunami coming in that will soon cover all of the corn, but that’s okay because you’ve got your tsunami proof helmet and fins, so you’re perfectly fine in the water. Now you can perform your underwater tsunami show with ease.","",See the ents in the background while you perform. Watch them working the lights and changing the music as you continue on with your performance.,"Since you know how to [kanji]perform[/kanji] and put on a good show, you’ve recruited some [reading]en[/reading]ts ([ja]えん[/ja]) to be in the performance with you. The ents perform tricks in the background and work the lights and music for you. Ents, so helpful."
1404,宴,Kanji,宴,Imagine seeing this woman as you eat food at the banquet. Taste the food in your mouth as you see her wander about in her oversized helmet.,"Putting on a [radical]helmet[/radical] to protect her from the [radical]sun[/radical], a [radical]woman[/radical] attends an outdoor [kanji]banquet[/kanji]. Not wanting to burn her fair skin at the banquet, the woman made sure to wear a wide brimmed helmet for optimal sun blocking protection.","","While at the banquet observing the woman in the helmet, also see the ents wandering about and mingling with all the other ent guests.",This [kanji]banquet[/kanji] is being put on by the [reading]en[/reading]t ([ja]えん[/ja]) lord. That’s why it’s outside. An ent always prefers to be outdoors rather than in.
1426,延,Kanji,延,Imagine what Big Bird could have done wrong. He believes he is correct. Imagine yourself yelling and arguing at Big Bird over it.,If [radical]Big Bird[/radical] makes a mistake and you try to [radical]correct[/radical] him you’re only going to [kanji]prolong[/kanji] things. Big Bird is very stubborn and always believes he is correct. Arguing with him over it will only prolong the situation.,"","Silly Ent, why prolong this argument any longer than it needs to be? Imagine yourself as a tree, arguing over things with Big Bird for an eternity. Prolonged forever. Neverending.","Actually, you are an [reading]En[/reading]t ([ja]えん[/ja]), and as everyone knows, Ents take a long time to say things. Being an Ent, you [kanji]prolong[/kanji] pretty much everything that requires words, so this argument with Big Bird here is going to take forever."
740,起,Kanji,起,Imagine running into a cobra as it sleeps. It will probably bite you for waking it up. Imagine the cobra in a little night cap too.,"If you [radical]run[/radical] into a [radical]cobra[/radical], no matter who you look at, someone is going to [kanji]wake up[/kanji]. If the cobra is asleep (let's imagine that), and you run into the cobra, it will jump up, awake in an instant. ","","Then you say a more somber ""oh..."" because you realize what it means to be bitten by a cobra, especially this far away from a hospital. You like to run in the wilderness for some reason.","When you step on the cobra, causing it to [kanji]wake up[/kanji], it bites you. You scream out a quick ""[reading]Oh[/reading]!"" ([ja]お[/ja]) because you're startled and bitten."
802,追,Kanji,追,"Bears are big and scary. Imagine how frightened you’d be just seeing one out in the woods. If you saw a bear go down a water slide at your local water park, do you think you would follow him down it? Heck no. Bears are terrifying.","If a [radical]bear[/radical] goes down a [radical]water slide[/radical], you’re probably not gonna want to [kanji]follow[/kanji] him. Once a bear goes down a water slide, he’s pretty much claimed it as his, and he won’t be happy if you follow him down it. He’ll be waiting at the end of the water slide just waiting to maul anyone silly enough to follow him down.","","So this waterslide goes down into the ocean. Picture yourself standing on the cliff at the top of the slide with the ocean spreading out in front of you. Feel the cool ocean breeze and smell the fresh salty air. It’s very relaxing. Except for the whole bear thing, that was kind of horrifying.","This particular water slide goes into the [reading]o[/reading]cean ([ja]お[/ja]). The reason the bear got on it was so that he could fish for ocean fish. This bear has a taste for ocean fish and couldn’t resist going down the water slide to get to the ocean. Maybe it would be safe to [kanji]follow[/kanji] him once he got a meal of ocean fish, but definitely not safe to follow him down right away."
1430,押,Kanji,押,Imagine this poor little turtle in his turtle shell as you place the nailbat atop him and start pushing down. Hear the turtle screaming for mercy as you continue to push.,"You take a [radical]nailbat[/radical] to a [radical]turtle shell[/radical] and [kanji]push[/kanji] the nails into it. You want the turtle to come out of his turtle shell but you don’t want to damage the turtle shell too much, so you just push the nailbat into it instead of just smashing it.","",Oh no. Say it out loud a few times as you imagine smashing the turtle shell with your nailbat. Oh no.,"[kanji]Push[/kanji] down harder… A little harder… Push… CRACK! [reading]Oh[/reading] ([ja]お[/ja]) no, the turtle shell split into a million pieces. It’s worthless now. Oh no."
1180,応,Kanji,応,Imagine you are this good hearted mullet wearer. No one will respond to anything you say because of your mullet. It feels bad to be ignored by everyone. Feel sad as you stroke your mullet for comfort.,"If you have a [radical]mullet[/radical], regardless of how good a [radical]heart[/radical] you have, I’m not going to [kanji]respond[/kanji] to anything you say. I don’t respond to mullet wearers, no matter how good a heart they have.","",Oh. Oh. Oh. You have a mullet. Oh. Ok. I have nothing to say to you. Go away.,"Every time you try and talk to someone, they start to [kanji]respond[/kanji] as they turn around, but then they see you and they’re all like, “[reading]Oh[/reading] ([ja]おう[/ja]). You have a mullet. Nevermind.” You’re getting really tired of hearing “Oh. You have a mullet.” Like, “Oh. You’re inferior to us so we’re not going to respond. You mullet wearing freak you.” It feels bad to be treated this way."
2046,殴,Kanji,殴,"Imagine your assault on this cage. Imagine kicking, punching, and grappling with this cage in vicious assault. Hear the IKEA treasure clinking around in the cage as you do so.","In a [radical]cage[/radical] there is a [radical]treasure[/radical] from [radical]IKEA[/radical] that you are planning to [kanji]assault[/kanji]. You have to assault this cage to get to the treasure inside. The treasure is from IKEA, so you know it’s totally worth it.","",Ohhhh shoot. Your assault was successful and the treasure is now yours. Say “oh yeah” over and over again as you fist pump in triumph.,[reading]Oh[/reading] ([ja]おう[/ja]) yeah! Your [kanji]assault[/kanji] worked. The cage busts open and the IKEA treasure comes pouring out. Oh yeah! OH YEAH!
2029,憶,Kanji,憶,Pick the fish stick up in your hands and feel its crispy fishy goodness. Take a bite of the fish stick and feel your mind become instantly active with the recollection you’re having.,"This [radical]fish stick[/radical] gives you an [radical]idea[/radical], a [kanji]recollection[/kanji] if you will. You have a recollection of a great idea you had once before but had forgotten. Your great idea has to do with fish sticks. Thank goodness for this recollection you just had.","","Now that you’re in Oklahoma, imagine having a fish stick there. See the Oklahoma scenery around you as you chow down on the best fish stick you’ve ever had in your entire life. Oklahoma! Woo!","Your [kanji]recollection[/kanji] was of your plans to travel to [reading]Ok[/reading]lahoma ([ja]おく[/ja]). You want to go to Oklahoma because you’ve heard they have the best fish sticks there. You had this idea once before, but you forgot about it. Now that you’ve had this recollection, you decide that you absolutely must go to Oklahoma."
2032,踊,Kanji,踊,Imagine doing this dance with the mama elephant. Move your foot and imagine a mama elephant doing the same.,"You move your [radical]foot[/radical] in time with the [radical]mama[/radical] [radical]elephant[/radical] to [kanji]dance[/kanji] with her. The elephant mama is leading the dance, so you gotta move your foot to the beat and follow her lead.","",Smell the odor under your arms. It reeks. Looks like you danced too hard this time.,You [kanji]dance[/kanji] so much that you develop an [reading]odo[/reading]r ([ja]おど[/ja]). The odor is so strong that the mama elephant faints mid-dance. Your odor is lethal.
1943,穏,Kanji,穏,Imagine scraping a cleat against pine and hearing the scraping sound as you see Wolverine calm down. His heart rate is slowing and he looks very calm and peaceful.,"You scrape some [radical]pine[/radical] with your [radical]cleat[/radical], causing [radical]Wolverine[/radical]’s [radical]heart[/radical] to [kanji]calm[/kanji]. Wolverine needs to calm down, and for some reason the sound of a cleat scraping on pine wood does the trick for him. Wolverine’s heart begins to calm down rapidly.","",Smell the smell of onions in the air as you continue to scrape the pine with your cleat and calm Wolverine down. I wonder why onions freak him out so much…,"The reason Wolverine needs to [kanji]calm[/kanji] down is because he accidentally ate some [reading]on[/reading]ions ([ja]おん[/ja]) earlier. Onions really freak Wolverine out for some reason, so after eating them he needed your help to calm down."
642,科,Kanji,科,"Take the specimens back to your lab and study them. What are they? Make them something very strange, and focus on the fact that you have a laboratory, a lab coat, and all sorts of science-related things to make you remember the word ""science.""","Using some [radical]chopsticks[/radical], you carefully pick away at a [radical]pine[/radical] tree, taking some important specimens for it. Why are you doing this? For [kanji]science[/kanji], obviously.","","This isn't at all what you expected. Why did it turn into a car? You should be terribly surprised by it. Check it out. It's a weird looking car, based off whatever you harvested from the pine tree earlier (you decided that part, remember?).","Using all your [kanji]science[/kanji] skills, you take the things you harvested and add a couple of scientific drops of something else to it. You step back, and watch it grow rapidly into a [reading]car[/reading] (か)."
660,家,Kanji,家,"Imagine the pig with a helmet on his head protecting your own home. He stands outside the door attacking anyone who comes near (except for you, of course, this is your house after all!). The helmet makes him stronger, which is why he wears it to protect your [kanji]house[/kanji]. That'll do pig, that'll do.",You have a [radical]pig[/radical] with a [radical]helmet[/radical]. Now why in the world would you need something like this? He exists to protect your [kanji]house[/kanji].,"",Imagine someone trying to get next to your car. The helmeted pig beelines it to that person and takes them out.,"Not only does he protect your house, though, he also protects your [reading]car[/reading] (か). What a great package!"
699,買,Kanji,買,"Have him go through various questions. ""How much are these?"" ""Can you go lower on your prices? I have a lot of orcs to feed."" ""Are these ones on sale?"" etc. Always make it focused on the buying, though.",[radical]Sauron[/radical] is looking at some [radical]clam[/radical]s to [kanji]buy[/kanji].,"","The on'yomi for this kanji (which you're not learning with the mnemonic, because it's not as common) just sounds like the word ""buy,"" which makes it pretty easy to remember later on, when you need to.","Somehow Sauron goes from trying to [kanji]buy[/kanji] clams to buying an entire [reading]car[/reading] (か). He drives away in it, forgetting about the clams. Come up with a story about how he ended up buying this car from the clam salesman. Should be ridiculous to help you to remember that the kun'yomi reading for this kanji is か."
739,仮,Kanji,仮,Imagine how frustrating it must be under this devilish leader's rule. Your only consolation is remembering that his reign is only temporary.,"You’re a servant to a [radical]devil[/radical] [radical]leader[/radical], but this is only [kanji]temporary[/kanji]. Soon you will rally the other servants and overtake this devilish leader and claim your rightful place on the throne! Your time is nigh!","",Imagine how angry you get seeing him in that car when you have to just walk everywhere. The color red makes you angry and so does his stupid car.,The devil leader drives around in a bright red [reading]ca[/reading]r ([ja]か[/ja]). Red like the burning anger of your intense hatred for him.
1158,過,Kanji,過,"Picture yourself with two mustaches, one over the other. Feel the pride and confidence as you surpass all others in manliness. Feel the bushiness of your two mustaches on your upper lip.","To be top dog of the [radical]water slide[/radical], you must grow a [radical]mustache[/radical] on top of a [radical]mustache[/radical] in order to [kanji]surpass[/kanji] your peers. You go down a water slide in your bathing suit, so you really need to show off your stuff by using facial hair. The mustache is the most manly thing you can wear on your face, so to be the most manly, it makes sense to grow two of them. You’ll easily surpass all others using this strategy.","","Feel so surpassed by this car, surpassing you in every way.","The only one challenging you now is a little girl sitting in an amazing [reading]ca[/reading]r ([ja]か[/ja]). It's on the next water slide over, revving its engines, then blasts down the slide, surpassing you in manliness and speed."
1278,掛,Kanji,掛,Imagine hanging two people up by their toes and beating them with a nailbat. Hear their screams and pleas for mercy as you beat them over and over again.,"Taking a [radical]nailbat[/radical], you decide to create one [radical]grave[/radical] and another [radical]grave[/radical], take two people by the [radical]toe[/radical], and [kanji]hang[/kanji] them upside-down to beat them to death. Once the two people are dead, you can put them in the new graves you just made.","",Why are you such a mean guy? Most guys wouldn’t beat people to death with their car. Why you gotta be like that?,"After, you [kanji]hang[/kanji] them up by their toes and then run into them with your [reading]ca[/reading]r ([ja]か[/ja]). No mercy."
1324,貸,Kanji,貸,Imagine this exchange. Your friend is going to lend you money in exchange for a clam. Hand your friend the clam and take the money he’s lending you. Feel the clam and the lent money in your hands.,"You [radical]substitute[/radical] a [radical]clam[/radical] for collateral so your friend will [kanji]lend[/kanji] you some money. Normally he would ask for something more valuable, but you’ve convinced him to substitute a clam for what he would normally take as collateral when lending to people.","",Imagine yourself in this new car that you got with the money your friend lent you. Hear the roar of the engine and feel the wind in your hair.,"You want your friend to [kanji]lend[/kanji] you some money so you can buy yourself a [reading]ca[/reading]r ([ja]か[/ja]). You need money and a car a lot more than you need this clam, so you’re happy to put it up as collateral for the loan."
1470,貨,Kanji,貨,Imagine what would make this clam so luxurious that it would be considered precious freight. Perhaps it’s made out of solid gold. Maybe it’s jewel encrusted. Who knows?,"You [radical]change[/radical] your attitude about a [radical]clam[/radical] being precious [kanji]freight[/kanji] after you realize how expensive it is. This particular clam is incredibly valuable. It’s worth a lot of money. Before you didn’t think it was freight worthy of such a fuss, but you’ve changed your mind.","","Imagine driving your car with the precious freight sitting in the seat next to you. Keep glancing over at it as you drive your car, just to make sure the freight is still safe.","The best way to transport [kanji]freight[/kanji] like this is in your very own [reading]ca[/reading]r ([ja]か[/ja]). When it’s in your car, you can keep an eye on it and know that it is safe. Just don’t crash your car, okay?"
1640,鹿,Kanji,鹿,Imagine seeing the deer's mullet up close. It's even prettier than you thought from the air.,"You decide to [radical]compare[/radical] people's [radical]mullet[/radical]s by [radical]helicopter[/radical] when you see the most luxurious mullet you've ever seen! You bring the helicopter down and as you get closer you realize this mullet isn't on a person. It's on a [kanji]deer[/kanji]! A deer with a beautiful, flowing mullet.","","Deer get hit by cars all the time, but it was still really shocking . I mean it was right in front of you. The car could have hit you too.","As you're admiring and comparing the [kanji]deer[/kanji]'s mullet to all the mullets you've ever seen, it gets hit by a [reading]ca[/reading]r ([ja]か[/ja]). "
1935,稼,Kanji,稼,Check out your awesome pine house. It really does look good. Nice and sturdy. Using all your earnings was totally worth it.,"I built a [radical]pine[/radical] [radical]house[/radical] using my [kanji]earnings[/kanji]. Before I could only buy a plastic house. But, this time I built a sturdy pine house, because I make so much earnings these days!","","Imagine your new car in front of your new pine house. They look good together! Also, this has the same reading as [ja]家[/ja], and includes it on the side. Good little way to cheat and remember the reading, that is.",Along with this nice pine house you bought a nice new [reading]ca[/reading]r ([ja]か[/ja]) as well.
1925,賭,Kanji,賭,Who are you betting on? Imagine it and bet on that someone. Now imagine the race playing out and imagine the excitement of your gambling.,"I'm putting all my [radical]clam[/radical]s on [radical]someone[/radical] to win the race (clams = slang for money). If you do that, you are performing a [kanji]gamble[/kanji].","","You won! Be excited about that. Then, take all the money you won and think about what car you can buy. What would you get?","Best part is, if you win this [kanji]gamble[/kanji], you're going to take all your money and spend it on a new [reading]ca[/reading]r ([ja]か[/ja])."
2013,蚊,Kanji,蚊,Hear the mosquito buzzing around the doll in frustration as it tries to suck blood from it. Buzz buzz buzz.,"The [radical]insect[/radical] on that [radical]doll[/radical] is a [kanji]mosquito[/kanji]. The mosquito thought that the doll was a real living thing, so it was disappointed when it couldn’t suck the doll’s blood. Mosquitos aren’t the brightest insects around.","",Imagine yourself using a car to squish a mosquito. Bzzzzz… SQUISH. That mosquito is dead for sure.,"All the buzzing this [kanji]mosquito[/kanji] is doing is really bothering you so you run it over with your [reading]car[/reading] ([ja]か[/ja]). VROOM VROOM SQUISH. Using your car was a bit overkill, maybe – but that mosquito was being really annoying so it needed to die."
2059,刈,Kanji,刈,Imagine pruning one of your own ribs. Feel the flesh and bone separate as you prune off one of your ribs. But think of the treasure!,"You’ll win a [radical]treasure[/radical] if you take one of your [radical]ribs[/radical] and [kanji]prune[/kanji] it off. Naturally, you prune one of your ribs off to get this treasure.","",Imagine having this terrible wound on your ribs as you drive your car. Hear the engine roaring as you speed towards the hospital to have your self-inflicted wound treated.,"Since you decided to [kanji]prune[/kanji] off a rib, you now need to take your [reading]ca[/reading]r ([ja]か[/ja]) to the hospital. You are bleeding from where you pruned the rib off, so you need medical attention. You get in your car and drive to the hospital."
2267,佳,Kanji,佳,Imagine how excellent this leader must have been to deserve two graves.,"A [radical]leader[/radical] that gets not one, but two [radical]grave[/radical]s, honoring them after they're dead must have been really [kanji]excellent[/kanji]. Not just anyone can get two graves, but if you were soooo great that you get two, you must have been the best.","",If you're an excellent driver you might get two graves too! One for you and your just as excellent car!,You're curious to see what made this leader so [kanji]excellent[/kanji]. You look at both graves and realize that he's in one and his [reading]ca[/reading]r ([ja]か[/ja]) is in the other! They buried his car with him because he was such an excellent driver. Oh. That makes sense.
2427,禍,Kanji,禍,Look at that evil two mustache having pelican. He looks like he's plotting something sitting over there.,"That [radical]pelican[/radical] over there has two [radical]mustache[/radical]s so it must be [kanji]evil[/kanji]. Everyone knows that a mustache makes you evil, but two? Yeah, that pelican must be the ultimate evil if it could grow two.","","Imagine running, arms waving, up to the evil pelican to try to get it away from your car. It's nasty, white pelican poops are all over your windshield. Curse you evil pelican! Curse you!",You're watching the [kanji]evil[/kanji] pelican when he starts to fly away. You can't just let him mess things up somewhere so you run after him and see him pooping on your [reading]car[/reading] ([ja]か[/ja])!
2437,寡,Kanji,寡,Picture your widowed wife angrily holding the helmet you refused to wear when you went out on the day you were stabbed by a geoduck.,If you don't wear a [radical]helmet[/radical] a [radical]geoduck[/radical] will jump out of the [radical]ground[/radical] with a [radical]sword[/radical] and stab you in the face. When you die your wife will be a [kanji]widow[/kanji]. How dare you be so careless by not wearing a helmet!,"Widow, Minority",Picture your widow wife refusing to get in the car. Picture her clutching the helmet you didn't wear.,"Now your [kanji]widow[/kanji]ed wife is too afraid to even drive the [reading]ca[/reading]r ([ja]か[/ja]). Every time she tries, she pictures the geoduck jumping out of the ground and slashing your helmet-less face. Now the car is just sitting there, unused."
1185,賀,Kanji,賀,"Imagine yourself trying to open a clam. You struggle to open its mouth but the clam’s power is too great. Congratulations clam, you’ve won.","The [radical]power[/radical] of the [radical]mouth[/radical] of a [radical]clam[/radical] deserves [kanji]congratulations[/kanji]. I mean, have you ever tried to open a clam? They’re strong. That clam mouth has a lot of power. Definitely worthy of congratulations.","","Since your friends have abandoned you, imagine yourself crying like a whiny little baby after your defeat. Actually pretend to wipe away tears as you say goo goo ga ga out loud. Go ahead – do it.","After you give the clam a hearty [kanji]congratulations[/kanji] for his mighty power, you start to break down and cry like the little baby you are. “Goo goo… [reading]ga[/reading] ([ja]が[/ja]) ga…” It’s really embarrassing. Stop acting like a little baby, you baby. Go and goo goo ga ga somewhere else, you’re embarrassing the rest of us with your presence."
559,貝,Kanji,貝,"Be sure to try and differentiate ""clam"" and ""shellfish"" before moving on to the reading.","The radical, [radical]clam[/radical], is a type of [kanji]shellfish[/kanji]. Also, we'll allow [kanji]clam[/kanji] here too, because sometimes clams are referred to as [ja]貝[/ja] and it's the same as the radical. I'd focus on learning the ""shellfish"" version of the vocab if you can, though.","Shellfish, Shell, Clam","Taste the shellfish juice, smell it, and feel it. When you think about this shell, you should think of this shell coyote that tried to eat you. If you're afraid enough in your imagination, there's a good chance you'll remember this reading quite easily.","To remember the reading かい we use the word “coyote” (which is pronounced kai-oh-tee).

Imagine a [reading]coyote[/reading] (かい) with a huge [kanji]shell[/kanji] making up its back area. You try to punch it, but the coyote shell skin is too strong and the coyote comes at you to devour you. Suddenly, someone with a sledge hammer comes in and smashes the coyote's shell, bursting shellfish all over you."
728,界,Kanji,界,Have you ever worked on a farm or lived in a hut? Imagine that’s all you know in this world. Picture yourself planting rice in a paddy out in the hot sun with one of those big hats. How would you like to do that for a living?,"A little [radical]hut[/radical] and a [radical]rice paddy[/radical] is all you really need in this [kanji]world[/kanji]. It’s a simple life, but you get shelter from the hut, and food from the rice paddy. You don’t get to travel or see much of the world, but it’s a living.","","Yell out ""COYOTE! COYOTE!"" and feel the panic. Everything was so good, then this happened.",You're sitting in your little hut on your rice paddy and everything is good in the [kanji]world[/kanji] when suddenly a pack of [reading]coyotes[/reading] ([ja]かい[/ja]) bust down your hut and start tearing everything to pieces.
835,階,Kanji,階,Imagine being at this butcher competition. Hear everyone on the floor cheering as the competition to compare their butcher styles commences.,"If you want to [radical]compare[/radical] the skills of a [radical]white[/radical] [radical]butcher[/radical] with an Asian one, you'll have to make the entire [kanji]floor[/kanji] available to them. They need a ton of space to work, flinging their knives around, and such.","","If you’ve ever seen Iron Chef, you know what it’s like when they wheel out the special secret ingredient. Imagine that same scene, but this time, it’s coyote!","In a strange twist of events, the meat they must butcher is [reading]coy[/reading]ote ([ja]かい[/ja]) meat. As the coyote meat is wheeled out onto the [kanji]floor[/kanji] for the butchers to prepare, everyone gasps in surprise."
